Title;Number of characters;Number of lines;Script size (UTF-8);Script size (JSIS)
Ouka Sengoku! ~Nobunaga-chan no Koishite Yabou!?~;1116754;47542;3926;2617
Tsuki ni Yorisou Otome no Sahou;1044370;31157;3515;2343
Maitetsu;1056534;76088;3792;2529
Baldr Force;858649;32188;3118;2081
WORLD END ECONOMiCA episode.02;238236;8491;785;523
Yume Miru Kusuri;498227;37881;1744;1162
Kara no Shoujo - The Second Episode;719007;40695;2486;1657
Realize;428511;30267;1501;1002
Sakura, Moyu. -As the Night's, Reincarnation-;1231316;56869;4172;2781
Ciconia no Naku Koro ni;366704;18819;1272;848
"Chaos;Child";919112;45166;3115;2077
Hakuoki: Edo Blossoms;725842;53270;2514;1676
Maitetsu Last Run!!;2070810;145273;7453;4971
Hakuoki: Kyoto Winds;723912;50446;2496;1665
Kichiku Megane;783967;40324;2714;1809
Kara no Shoujo;428683;23857;1489;992
Remember11;576097;34197;1994;1329
Lamento -Beyond the Void-;769317;42532;2567;1711
Tokyo 24-ku;853976;54575;2888;1925
"Chaos;Head Noah";757839;40333;2588;1729
WORLD END ECONOMiCA episode.03;277958;9646;921;614
Sayonara wo Oshiete ~Comment te Dire Adieu~;221049;12895;787;525
"Chaos;Head";561675;29480;1914;1278
Daibanchou -Big Bang Age-;1632719;161537;5958;3982
Fata Morgana no Yakata;669916;42386;2389;1593
Lamunation!;299488;14422;1097;734
J.Q.V Jinrui Kyuusai-bu ~With Love from Isotope~;359288;23082;1273;849
Kami no Ue no Mahoutsukai;872677;44565;3010;2006
Rei-Jin-G-Lu-P;868608;70799;3053;2035
Abyss -Satsujin Club-;1218654;74619;4205;2803
Persona Driver Ryuuki ~Onna Kaijin Gundan Daishingeki!~;480187;25604;1770;1180
Sapphism no Gensou;952552;60963;3258;2172
Rewrite+;1568806;101136;5497;3665
Gun-Katana - Non-Human-Killer;683932;27957;2422;1615
Omega no Shikai -1. Shiki no Hajimari-;685251;56418;2345;1565
Higurashi no Naku Koro ni Matsuri;907030;40617;3099;2066
Atlach-Nacha;257490;20781;923;615
Hello Lady!;1043672;60873;3616;2411
Hentai Prison;1531556;78418;5406;3607
Sekai Seifuku Kanojo;1192315;50309;4062;2709
Higurashi no Naku Koro ni Kizuna;925719;42626;3166;2111
Mahou Shoujo Shoumou Sensen DeadΩAegis;688960;19011;2265;1510
Yami wo Hashiru Yaiba no Kirameki;272803;15081;930;620
Saya no Uta;144251;3767;469;313
Ever Maiden ~Daraku no Sono no Otome-tachi~;405005;13987;1354;903
Higurashi no Naku Koro ni;2359812;120847;8063;5375
Tsui no Sora Remake;306957;16070;1080;720
Memory's Dogma Code:01;222459;9864;744;511
Tsukihime;1357299;64380;4720;3147
Musicus!;979947;12803;3232;2154
Sekien no Inganock -What a Beautiful People-;391044;17726;1376;918
Kurai Nichiyoubi;156919;8497;526;350
Shikkoku no Sharnoth -What a Beautiful Tomorrow-;477415;20946;1672;1114
Kyuuketsu Senki Vjedogonia;469767;26843;1580;1056
White Album 2;1520213;119102;5329;3552
Nagareochiru Shirabe ni Nosete;763521;46686;2621;1747
SeaBed;408978;17529;1331;887
Fairytale Requiem;689910;50227;2284;1522
Gensou no Idea ~Oratorio Phantasm Historia~;804766;33105;2816;1878
Umi Kara Kuru Mono;748189;30812;2517;1678
Ken ga Kimi;982045;86623;3322;2217
Subarashiki Hibi ~Furenzoku Sonzai~;1038800;59184;3774;2519
Sakura no Kumo * Scarlet no Koi;781466;31983;2746;1831
Yukuhito no Pleroma;105394;4287;347;231
Kitto, Sumiwataru Asairo Yori mo;634470;35783;2230;1487
Umineko no Naku Koro ni;2241817;130590;7848;5232
Sora no Baroque;676434;18614;2231;1487
Jingai Makyou;827251;35288;2901;1934
Tokyo Necro;700522;38669;2425;1617
Tsukihime -A Piece of Blue Glass Moon-;920170;43953;3119;2080
Fate/Stay Night;1703197;77829;5961;3975
Koshotengai no Hashihime;525651;39580;1841;1227
Dies irae ~Interview with Kaziklu Bey~;210121;6152;696;464
12Riven;485371;29340;1741;1164
Saihate no Ima;755598;42792;2680;1787
